assignedGroup,assignedTC,docAffected,docId,projApproved,projectId,projectStatus,workType,projectLink,projectMilestone,updateDependency,workNotes,projApprovedDate
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-4-2020""]",undefined,true,st429-4-2020-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-429-4-202X-Revision-D-Cinema+Packaging+-+MXF+JPEG+2000+Application+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22p4Nj6XwxyEO9Q4HQrfu19mQAFSYo%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,undefined,2021-04-08T07:00:00.000Z
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-5-2017""]",undefined,true,st429-5-2017-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-429-5-202X-Revision-D-Cinema+Packaging+-+Timed+Text+Track+File+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22ma9XTiulT0OmD4IC_UNiE2QABw-K%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,undefined,2021-04-08T07:00:00.000Z
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-6-2006"",""st429-6-2006am1-2018""]",undefined,true,st429-6-2006-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-429-6-202X-Revision-D-Cinema+Packaging+-+MXF+Track+File+Essence+Encryption+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22NUhUyoVVe06AR7utsKXO2mQAHJKR%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,Roll in ST 429-6:2006 Am1:2018,2021-04-08T07:00:00.000Z
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-7-2006""]",undefined,false,st429-7-2006-rev-001,Pending,Revision,undefined,undefined,undefined,undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-8-2007""]",undefined,false,st429-8-2007-rev-001,Pending,Revision,undefined,undefined,undefined,undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st429-9-2014""]",undefined,false,st429-9-2014-rev-001,Pending,Revision,undefined,undefined,"[""st429-8-2007""]",undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st430-1-2017"",""st430-1-2017am1-2019""]",undefined,true,st430-1-2017-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-430-1-202X-Revision-D-Cinema+Operations+-+Key+Delivery+Message+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22qfHpre9Krk2bEDtj5XyVs2QALg7f%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,Roll in ST 430-1:2017 Am 1:2019 ,2021-04-08T07:00:00.000Z
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st430-10-2010""]",undefined,false,st430-10-2010-rev-001,Pending,Revision,undefined,undefined,undefined,undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st430-11-2010""]",undefined,false,st430-11-2010-rev-001,Pending,Revision,undefined,undefined,undefined,undefined,undefined
smpte-21dc-tcdg-docmx,smpte-21dc-tc,"[""st430-12-2014"",""st430-12-2014am1-2019""]",undefined,true,st430-12-2014-rev-001,Pending,Revision,https://teams.microsoft.com/l/entity/com.microsoft.teamspace.tab.planner/_djb2_msteams_prefix_4016256768?webUrl=https%3a%2f%2ftasks.office.com%2fc6051a58-269b-4f08-835f-eedebf4596b3%2fHome%2fPlanViews%2fDXYjfEA-3UG8pNOGLf4A5WQAFrHT%3fType%3dPlanLink%26Channel%3dTeamsTab&label=21DC-ST-430-12-202X-Revision-D-Cinema+Operations+-+FSK+Synchronization+Signal+(ST)+in+Projects+(ST%2c+RP%2c+EG)&context=%7b%0d%0a++%22subEntityId%22%3a+%22XH9Fclizik-EqQcLeoCG6WQAGpXI%22%2c%0d%0a++%22channelId%22%3a+%2219%3a735c25b5260d47c09a2712650f590dd4%40thread.tacv2%22%0d%0a%7d&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,undefined,undefined,Roll in ST 430-12:2014 Am1:2019,2021-04-08T07:00:00.000Z
