docId,docLabel,docTitle,docType,href,publicationDate,publisher,status.active,authors,status.stabilized,status.superseded,status.supersededBy,status.amended,status.amendedBy,group,keywords,references.normative,status.draft,status.unknown,details,status.withdrawn,status.supersededDate,status.statusNote,repo,doi,relatedDocs,workInfo.review,status.reaffirmDate,status.reaffirmed,docNumber,references.bibliographic,docPart,status.withdrawnDate,workInfo.project,status.publicCd,docElement,status.amendedDate,status.stabilizedDate,xmlNamespace
iec-61966-2-1-1999-cor1-2014,IEC 61966-2-1:1999/Cor1:2014,Corrigendum 1 - Multimedia systems and equipment - Colour measurement and management - Part 2-1: Colour management - Default RGB colour space - sRGB,Standard,https://webstore.iec.ch/publication/6170,2014-01-24T07:00:00.000Z,IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iec-61966-2-4-2006,IEC 61966-2-4:2006,Multimedia systems and equipment - Colour measurement and management - Part 2-4: Colour management - Extended-gamut YCC colour space for video applications - xvYCC,Standard,https://webstore.iec.ch/publication/6173,2006-01-17T07:00:00.000Z,IEC,true,undefined,undefined,undefined,undefined,true,"[""iec-61966-2-4-2006-amd1-2016-amd2-2021""]",undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iec-61966-2-4-2006-amd1-2016-amd2-2021,IEC 61966-2-4:2006+AMD1:2016+AMD2:2021,Multimedia systems and equipment - Colour measurement and management - Part 2-4: Colour management - Extended-gamut YCC colour space for video applications - xvYCC,Standard,https://webstore.iec.ch/publication/69929,2021-07-13T07:00:00.000Z,IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
ieee-754-1985,IEEE 754:1985,Binary Floating-Point Arithmetic,Standard,https://standards.ieee.org/standard/754-1985.html,1985-03-21T07:00:00.000Z,IEEE,false,undefined,undefined,true,"[""ieee-754-2008""]",undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
ieee-754-2008,IEEE 754:2008,Binary Floating-Point Arithmetic,Standard,https://standards.ieee.org/standard/754-2008.html,2008-06-12T07:00:00.000Z,IEEE,false,undefined,undefined,true,"[""ieee-754-2019""]",undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
ieee-754-2019,IEEE 754:2019,Binary Floating-Point Arithmetic,Standard,https://standards.ieee.org/standard/754-1985.html,2019-06-13T07:00:00.000Z,IEEE,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
ieee-std1003-1-2004,IEEE Std 1003.1:2004,Portable Operating System Interface (POSIX(R)) - Base Definitions,Standard,https://doi.org/10.1109/IEEESTD.2004.94570,2004-04-30T07:00:00.000Z,IEEE,false,undefined,undefined,true,"[""ieee-std1003-1-2008""]",undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,true,undefined,undefined,undefined,,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
ieee-std1003-1-2008,IEEE Std 1003.1:2008,Portable Operating System Interface (POSIX(R)) - Base Definitions,Standard,https://doi.org/10.1109/IEEESTD.2008.4694976,2008-12-01T07:00:00.000Z,IEEE,false,undefined,undefined,true,"[""ieee-std9945-2009""]",undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
ieee-std9945-2009,IEEE Std 9945:2009,Portable Operating System Interface (POSIX(R)) - Base Definitions,Standard,https://doi.org/10.1109/IEEESTD.2009.5393893,2009-09-15T07:00:00.000Z,IEEE,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
imfug-bp-001,IMFUG 001,Timecode in IMF,Best Practice,https://www.imfug.com/TR/timecode-in-imf/,2020-04-22T08:00:00.000Z,IMFUG,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,https://github.com/imfug/001-timecode-in-imf,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
imfug-bp-002,IMFUG 002,Packaging and Delivery in IMF,Best Practice,https://www.imfug.com/TR/pkg-and-delivery/,2020-11-10T08:00:00.000Z,IMFUG,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,https://github.com/imfug/002-pkg-and-delivery,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
imfug-bp-003,IMFUG 003,Authoring of IMSC Documents,Best Practice,https://www.imfug.com/TR/imsc-authoring/,2020-10-13T08:00:00.000Z,IMFUG,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,https://github.com/imfug/003-imsc-authoring,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
imfug-bp-004,IMFUG 004,Authoring of Audio Track Files,Best Practice,https://www.imfug.com/TR/audio-track-files/,2020-11-10T08:00:00.000Z,IMFUG,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,https://github.com/imfug/004-audio-track-files,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
imfug-ds-100,IMFUG DS,IMF Delivery Schema 1.0.0,Best Practice,https://imfug.github.io/delivery-schema/documentation/specification,2020-02-24T08:00:00.000Z,IMFUG,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,https://github.com/imfug/delivery-schema,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
ios10646-2003,ISO 10646:2003,Information technology — Universal Multiple-Octet Coded Character Set (UCS),Standard,https://www.iso.org/standard/39921.html,2003-12-01T07:00:00.000Z,ISO/IEC,false,undefined,undefined,true,"[""iso10646-2011""]",undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,true,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
isbn-0201325632,ISBN 0-201-32563-2,UML Distilled - Applying the standard object modelling language,Book,undefined,1998-01-01T07:00:00.000Z,Addison-Wesley,true,"[""Martin Fowler""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
isbn-0201571684,ISBN 0-201-57168-4,The Unified Modelling Language User Guide,Book,undefined,1998-01-01T07:00:00.000Z,Addison-Wesley,true,"[""Grady Booch""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
isbn-0201615983,ISBN 0201615983,SSL and TLS: Designing and Building Secure Systems,Book,undefined,2000-10-00T07:00:00.000Z,Addison-Wesley,true,"[""Eric Rescorla""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
isbn-978-0-470-51244-9,ISBN 978-0-470-51244-9,"Digital Color Management: Encoding Solutions, 2nd Edition",Book,undefined,2009-01-00T07:00:00.000Z,Addison-Wesley,true,"[""Edward J Giorgianni"",""Thomas E Madden""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
isbn-978-0-471-39918-6,ISBN 978-0-471-39918-6,"Color Science: Concepts and Methods, Quantitative Data and Formulae, 2nd Edition",Book,undefined,2000-08-00T07:00:00.000Z,Addison-Wesley,true,"[""Günther Wyszecki"",""W. S. Stiles""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
isdcf-d02,ISDCF Doc 02,SMPTE-DCP compared to Interop-DCP Informational only,Informational,https://isdcf.com/papers/ISDCF-Doc2-DCP-TransitionReview.pdf,2011-11-02T07:00:00.000Z,ISDCF,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"[""DCinema"",""Interop""]",null,undefined,undefined,"The Digital Cinema industry is moving from Interop-DCP to SMPTE-DCP, hopefully starting in April 2012. Posted here is the comparison between these two delivery packages.",undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
isdcf-d03,ISDCF Doc 03,Hard Disc Drive formats,Technical Doc,https://isdcf.com/papers/ISDCF-Doc3-Delivery-Recs.pdf,2017-06-29T07:00:00.000Z,ISDCF,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"[""DCinema"",""Distribution"",""Packaging"",""Interop""]",null,undefined,undefined,Distribution Device File System Recommendations,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
