assignedGroup,assignedTC,docId,projApproved,projectId,projectLink,projectMilestone,projectStatus,workType,docAffected,workNotes,projApprovedDate,updateDependency
smpte-35pm-tc,smpte-35pm-tc,SMPTE.ST2067-70.20XX,true,st2067-70-20xx-id,undefined,undefined,Open,Intial Draft,undefined,undefined,undefined,undefined
smpte-27c-tcwg-dx-dg-2095-1-rev,smpte-27c-tc,SMPTE.ST2095-1.20XX,true,st2095-1-2015-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2005,"[{""current"":true,""milestoneAct"":""WG/DG working on WD (20%)""}]",Open,Revision,"[""SMPTE.ST2095-1.2015""]",undefined,undefined,undefined
smpte-27c-tc,smpte-27c-tc,SMPTE.ST2098-2.2022,true,st2098-2-20xx-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2113,undefined,Complete,Revision,"[""SMPTE.ST2098-2.2019""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st428-1-2019-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST428-1.2019""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st428-10-2008-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST428-10.2008""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st428-11-2013-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST428-11.2013""]",Should be updated as per GH issue,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st428-2-2006-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST428-2.2006""]",Revise at next review (2023) - See GitHub for ISO TC 36 comment responses,undefined,undefined
smpte-21dc-tcdg-stsub,smpte-21dc-tc,undefined,true,st428-7-2014-rev-001,undefined,undefined,Cancelled,Revision,undefined,undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-10-2008-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2029,undefined,Open,Revision,"[""SMPTE.ST429-10.2008""]",undefined,2021-04-08,"[""SMPTE.ST429-7.2006""]"
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st429-12-2008-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST429-12.2008""]",undefined,undefined,"[""SMPTE.ST429-7.2006""]"
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-14-2014-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2028,undefined,Open,Revision,"[""SMPTE.ST429-14.2014""]",undefined,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-16-2014-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2027,undefined,Open,Revision,"[""SMPTE.ST429-16.2014""]",undefined,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,false,st429-17-2017-rev-001,undefined,undefined,Pending,Revision,"[""SMPTE.ST429-17.2017""]",undefined,undefined,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-18-2019-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2026,undefined,Open,Revision,"[""SMPTE.ST429-18.2019""]",undefined,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-19-2019-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2025,undefined,Open,Revision,"[""SMPTE.ST429-19.2019""]",undefined,2021-04-08,undefined
smpte-27c-tcwg-dx,smpte-27c-tc,undefined,true,st429-2-2020-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2034,undefined,Complete,Revision,"[""SMPTE.ST429-2.2020""]",undefined,2021-04-08,undefined
